models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
rf+cnn_lstm,2,0.573801,0.383951,0.460059,0.529791,622,462,1023,998
cnn+gru+logreg+lstm+rf+tcn,6,0.57377,0.324074,0.414201,0.521739,525,390,1095,1095
lgbm+logreg+lstm+tcn+xgb+cnn_lstm,6,0.573741,0.393827,0.467057,0.531079,638,474,1011,982
lstm+xgb,2,0.573689,0.358025,0.440897,0.526248,580,431,1054,1040
catboost+rf+tcn+xgb+cnn_lstm,5,0.573643,0.365432,0.446456,0.527214,592,440,1045,1028
catboost+lstm+rf+tcn+xgb+cnn_lstm,6,0.573643,0.365432,0.446456,0.527214,592,440,1045,1028
catboost+logreg+lstm+rf+tcn+xgb+cnn_lstm,7,0.573636,0.389506,0.463971,0.530435,631,469,1016,989
logreg+rf+tcn,3,0.573566,0.425926,0.488842,0.535266,690,513,972,930
catboost+lgbm+logreg+lstm+rf+xgb,6,0.573557,0.380247,0.457313,0.529147,616,458,1027,1004
cnn+lgbm+lstm+rf+xgb,5,0.573543,0.382716,0.459089,0.529469,620,461,1024,1000
catboost+lgbm+logreg+lstm+rf+tcn+xgb,7,0.573543,0.382716,0.459089,0.529469,620,461,1024,1000
catboost+cnn+lgbm+rf+xgb+cnn_lstm,6,0.573464,0.397531,0.469559,0.531401,644,479,1006,976
catboost+logreg+rf+tcn,4,0.573432,0.429012,0.490819,0.535588,695,517,968,925
catboost+cnn+gru+lgbm+logreg+tcn,6,0.573404,0.332716,0.421094,0.522705,539,401,1084,1081
cnn+gru+logreg+rf+tcn+cnn_lstm,6,0.57339,0.335185,0.423062,0.523027,543,404,1081,1077
cnn+lgbm+lstm+tcn+xgb+cnn_lstm,6,0.573367,0.417284,0.48303,0.533977,676,503,982,944
cnn+gru+lgbm+rf+tcn+cnn_lstm,6,0.573265,0.275309,0.371977,0.514976,446,332,1153,1174
catboost+cnn+gru+lgbm+logreg+rf+tcn+cnn_lstm,8,0.573183,0.345679,0.431267,0.524316,560,417,1068,1060
cnn+logreg+lstm+rf+xgb,5,0.573171,0.406173,0.475434,0.532367,658,490,995,962
cnn+lstm+rf+xgb,4,0.573137,0.384568,0.460288,0.529469,623,464,1021,997
rf+tcn+xgb+cnn_lstm,4,0.573134,0.355556,0.438857,0.525604,576,429,1056,1044
catboost+cnn+lgbm+logreg+rf+tcn+xgb,7,0.573129,0.416049,0.482117,0.533655,674,502,983,946
cnn+rf+xgb,3,0.573126,0.387037,0.462049,0.529791,627,467,1018,993
cnn+rf+tcn+xgb,4,0.573115,0.389506,0.4638,0.530113,631,470,1015,989
lgbm+logreg+rf+cnn_lstm,4,0.573099,0.423457,0.487043,0.534622,686,511,974,934
catboost+logreg+rf,3,0.57309,0.425926,0.488669,0.534944,690,514,971,930
catboost+cnn+gru+logreg+xgb,5,0.573046,0.312346,0.404315,0.519807,506,377,1108,1114
catboost+logreg+rf+cnn_lstm,4,0.573025,0.44321,0.499826,0.537198,718,535,950,902
lgbm+logreg+rf+tcn,4,0.573015,0.414198,0.480831,0.533333,671,500,985,949
cnn+lgbm+logreg+lstm+rf+xgb+cnn_lstm,7,0.573015,0.414198,0.480831,0.533333,671,500,985,949
catboost+cnn+lstm+rf+xgb,5,0.572993,0.387654,0.462445,0.529791,628,468,1017,992
catboost+cnn+gru+logreg+lstm+rf,6,0.572939,0.334568,0.422447,0.522705,542,404,1081,1078
catboost+cnn+rf+xgb,4,0.572842,0.39321,0.466325,0.530435,637,475,1010,983
lgbm+tcn+xgb+cnn_lstm,4,0.572816,0.364198,0.445283,0.52657,590,440,1045,1030
cnn+logreg+lstm+rf+tcn+xgb+cnn_lstm,7,0.572758,0.417901,0.483226,0.533655,677,505,980,943
cnn+logreg+rf+xgb+cnn_lstm,5,0.572742,0.42284,0.486506,0.5343,685,511,974,935
cnn+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.572642,0.416049,0.481945,0.533333,674,503,982,946
logreg+lstm+rf+tcn+xgb,5,0.572626,0.37963,0.45657,0.528502,615,459,1026,1005
catboost+logreg+lstm+rf+tcn+xgb,6,0.572618,0.382099,0.458349,0.528824,619,462,1023,1001
catboost+lgbm+rf+tcn+cnn_lstm,5,0.572581,0.394444,0.467105,0.530435,639,477,1008,981
catboost+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,7,0.572559,0.401852,0.472252,0.531401,651,486,999,969
cnn+lgbm+lstm+tcn+xgb,5,0.572546,0.40679,0.475641,0.532045,659,492,993,961
catboost+cnn+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,9,0.572519,0.416667,0.482315,0.533333,675,504,981,945
catboost+cnn+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.572513,0.419136,0.483963,0.533655,679,507,978,941
catboost+cnn+rf+tcn+xgb,5,0.572451,0.395062,0.467495,0.530435,640,478,1007,980
catboost+cnn+gru+lgbm+logreg+tcn+cnn_lstm,7,0.572421,0.356173,0.439117,0.525282,577,431,1054,1043
catboost+lgbm+rf+cnn_lstm,4,0.572333,0.390741,0.464417,0.529791,633,473,1012,987
logreg+lstm+tcn+xgb,4,0.572327,0.39321,0.466154,0.530113,637,476,1009,983
cnn+lgbm+lstm+xgb,4,0.572305,0.403086,0.473017,0.531401,653,488,997,967
catboost+logreg+lstm+tcn+xgb,5,0.572305,0.403086,0.473017,0.531401,653,488,997,967
logreg+lstm+rf+xgb,4,0.572233,0.376543,0.454207,0.527858,610,456,1029,1010
logreg+lstm+rf+tcn+cnn_lstm,5,0.572148,0.420988,0.485064,0.533655,682,510,975,938
catboost+rf+tcn+cnn_lstm,4,0.572045,0.409259,0.47715,0.532045,663,496,989,957
catboost+lgbm+logreg+lstm+rf+tcn+cnn_lstm,7,0.572034,0.416667,0.482143,0.533011,675,505,980,945
catboost+lstm+rf+xgb+cnn_lstm,5,0.571984,0.362963,0.444109,0.525926,588,440,1045,1032
catboost+cnn+gru+lgbm+logreg,5,0.571895,0.324074,0.413712,0.520773,525,393,1092,1095
catboost+cnn+lgbm+logreg+lstm+xgb,6,0.571893,0.434568,0.493862,0.535266,704,527,958,916
catboost+cnn+lgbm+rf+tcn+xgb+cnn_lstm,7,0.571806,0.400617,0.471143,0.530757,649,486,999,971
cnn+gru+lgbm+lstm+tcn+cnn_lstm,6,0.571798,0.27284,0.369411,0.51401,442,331,1154,1178
lstm+rf+xgb+cnn_lstm,4,0.571715,0.351852,0.435613,0.524316,570,427,1058,1050
catboost+logreg+lstm+xgb,4,0.57168,0.401235,0.471527,0.530757,650,487,998,970
cnn+logreg+rf+tcn+xgb+cnn_lstm,6,0.571665,0.425926,0.48815,0.533977,690,517,968,930
catboost+lgbm+logreg+rf+cnn_lstm,5,0.571664,0.428395,0.489767,0.5343,694,520,965,926
catboost+lgbm+logreg+rf+tcn+cnn_lstm,6,0.571661,0.433333,0.492978,0.534944,702,526,959,918
cnn+gru+logreg+rf+cnn_lstm,5,0.57158,0.332716,0.420601,0.521739,539,404,1081,1081
cnn+gru+logreg+lstm+tcn+cnn_lstm,6,0.57158,0.332716,0.420601,0.521739,539,404,1081,1081
catboost+rf+cnn_lstm,3,0.571554,0.401852,0.47191,0.530757,651,488,997,969
catboost+lgbm+logreg+lstm+rf+cnn_lstm,6,0.57155,0.414198,0.480315,0.532367,671,503,982,949
catboost+cnn+lgbm+logreg+lstm+tcn+xgb,7,0.571544,0.43642,0.494925,0.535266,707,530,955,913
cnn+logreg+lstm+rf+tcn+xgb,6,0.571429,0.407407,0.475676,0.531401,660,495,990,960
lstm+rf+tcn+xgb+cnn_lstm,5,0.571429,0.355556,0.438356,0.524638,576,432,1053,1044
cnn+gru+logreg,3,0.571262,0.301852,0.394992,0.517552,489,367,1118,1131
cnn+logreg+lstm+rf+xgb+cnn_lstm,6,0.571185,0.41358,0.479771,0.532045,670,503,982,950
catboost+cnn+rf+xgb+cnn_lstm,5,0.571178,0.401235,0.471356,0.530435,650,488,997,970
lgbm+logreg+xgb+cnn_lstm,4,0.571174,0.396296,0.46793,0.529791,642,482,1003,978
cnn+lgbm+lstm+rf+tcn+xgb,6,0.571166,0.383951,0.45921,0.52818,622,467,1018,998
catboost+lgbm+logreg+rf,4,0.571066,0.416667,0.481799,0.532367,675,507,978,945
catboost+cnn+lgbm+logreg+lstm+rf+xgb+cnn_lstm,8,0.571064,0.414198,0.480143,0.532045,671,504,981,949
catboost+cnn+logreg+lstm+rf+xgb,6,0.571057,0.40679,0.475126,0.531079,659,495,990,961
lgbm+logreg+xgb,3,0.571046,0.394444,0.466594,0.529469,639,480,1005,981
catboost+cnn+logreg+lstm+tcn+xgb,6,0.57097,0.439506,0.496686,0.535266,712,535,950,908
catboost+lgbm+logreg+lstm+tcn,5,0.570887,0.464815,0.512419,0.538486,753,566,919,867
catboost+lgbm+logreg+lstm+xgb+cnn_lstm,6,0.570796,0.398148,0.469091,0.529791,645,485,1000,975
cnn+gru+logreg+lstm+rf,5,0.570796,0.318519,0.408875,0.519485,516,388,1097,1104
cnn+lgbm+logreg+rf,4,0.570793,0.475309,0.518693,0.539775,770,579,906,850
cnn+lgbm+rf+xgb,4,0.570768,0.380864,0.456868,0.527536,617,464,1021,1003
lstm+xgb+cnn_lstm,3,0.570732,0.361111,0.442344,0.52496,585,440,1045,1035
catboost+cnn+logreg+lstm+rf+tcn+xgb,7,0.57069,0.408642,0.476259,0.531079,662,498,987,958
lgbm+logreg+tcn+xgb,4,0.570671,0.398765,0.469477,0.529791,646,486,999,974
cnn+gru+logreg+lstm+cnn_lstm,5,0.570664,0.329012,0.417384,0.520773,533,401,1084,1087
lgbm+logreg+lstm,3,0.570661,0.458642,0.508556,0.53752,743,559,926,877
lstm+rf+tcn+cnn_lstm,4,0.570637,0.381481,0.45727,0.527536,618,465,1020,1002
cnn+lgbm+lstm+rf+cnn_lstm,5,0.570612,0.431481,0.491388,0.533977,699,526,959,921
catboost+cnn+logreg+rf+xgb+cnn_lstm,6,0.570588,0.419136,0.483274,0.532367,679,511,974,941
lgbm+logreg+lstm+tcn+cnn_lstm,5,0.570575,0.471605,0.516391,0.53913,764,575,910,856
cnn+lgbm+logreg+lstm+xgb+cnn_lstm,6,0.570508,0.437037,0.494932,0.534622,708,533,952,912
logreg+lstm+rf+cnn_lstm,4,0.570464,0.417284,0.481996,0.532045,676,509,976,944
cnn+lgbm+logreg+rf+xgb+cnn_lstm,6,0.570458,0.414815,0.480343,0.531723,672,506,979,948
lstm+tcn+xgb,3,0.57045,0.359877,0.441332,0.524638,583,439,1046,1037
lstm+rf+cnn_lstm,3,0.570356,0.375309,0.452718,0.52657,608,458,1027,1012
catboost+logreg+lstm+tcn+xgb+cnn_lstm,6,0.570319,0.408025,0.475711,0.530757,661,498,987,959
catboost+logreg+lstm+xgb+cnn_lstm,5,0.570306,0.403086,0.472333,0.530113,653,492,993,967
catboost+cnn+gru+lstm+tcn,5,0.570302,0.267901,0.364553,0.512721,434,327,1158,1186
logreg+xgb,2,0.570292,0.398148,0.46892,0.529469,645,486,999,975
catboost+cnn+gru+logreg+tcn,5,0.570265,0.345679,0.430438,0.522705,560,422,1063,1060
catboost+cnn+lgbm+lstm+xgb+cnn_lstm,6,0.57022,0.416049,0.481085,0.531723,674,508,977,946
logreg+lstm+rf+tcn,4,0.570183,0.403704,0.472714,0.530113,654,493,992,966
catboost+lgbm+logreg+xgb,4,0.570175,0.401235,0.471014,0.529791,650,490,995,970
catboost+cnn+logreg+lstm+xgb,5,0.570048,0.437037,0.494759,0.5343,708,534,951,912
catboost+cnn+rf+tcn+xgb+cnn_lstm,6,0.56993,0.402469,0.47178,0.529791,652,492,993,968
catboost+logreg+xgb+cnn_lstm,4,0.569856,0.415432,0.480543,0.531401,673,508,977,947
catboost+cnn+lgbm+lstm+xgb,5,0.569837,0.410494,0.477216,0.530757,665,502,983,955
catboost+cnn+gru+lgbm+tcn,5,0.569832,0.251852,0.349315,0.510467,408,308,1177,1212
catboost+cnn+lgbm+lstm+tcn+xgb+cnn_lstm,7,0.569748,0.418519,0.482562,0.531723,678,512,973,942
cnn+lgbm+rf+tcn+xgb,5,0.569725,0.383333,0.458303,0.527214,621,469,1016,999
xgb+cnn_lstm,2,0.569645,0.366049,0.445697,0.52496,593,448,1037,1027
cnn+logreg+lstm+tcn+xgb,5,0.5696,0.439506,0.496167,0.5343,712,538,947,908
cnn+lgbm+lstm+rf+tcn+cnn_lstm,6,0.569579,0.434568,0.492997,0.533655,704,532,953,916
catboost+cnn+lgbm+logreg+lstm+rf,6,0.569521,0.447531,0.50121,0.535266,725,548,937,895
catboost+lgbm+logreg+rf+tcn,5,0.569514,0.419753,0.483298,0.531723,680,514,971,940
logreg+rf+cnn_lstm,3,0.569489,0.440123,0.496518,0.5343,713,539,946,907
cnn+logreg+rf,3,0.569484,0.490741,0.527188,0.540741,795,601,884,825
cnn+logreg+rf+xgb,4,0.569468,0.409877,0.476669,0.530435,664,502,983,956
cnn+logreg+lstm+xgb,4,0.569467,0.435185,0.493352,0.533655,705,533,952,915
catboost+cnn+logreg+rf+tcn+xgb+cnn_lstm,7,0.56941,0.42284,0.485299,0.532045,685,518,967,935
cnn+lgbm+logreg+lstm+rf+tcn,6,0.569326,0.453704,0.504981,0.53591,735,556,929,885
cnn+lgbm+logreg+lstm+rf,5,0.569303,0.448765,0.501899,0.535266,727,550,935,893
cnn+logreg+rf+tcn+xgb,5,0.569113,0.411728,0.477794,0.530435,667,505,980,953
logreg+rf+tcn+cnn_lstm,4,0.569061,0.445062,0.49948,0.534622,721,546,939,899
lgbm+logreg+lstm+cnn_lstm,4,0.569044,0.462963,0.510551,0.536876,750,568,917,870
catboost+logreg+tcn+xgb+cnn_lstm,5,0.568908,0.417901,0.481851,0.531079,677,513,972,943
cnn+rf+tcn+xgb+cnn_lstm,5,0.568905,0.397531,0.468023,0.528502,644,488,997,976
cnn+lgbm+logreg+rf+tcn+xgb+cnn_lstm,7,0.568893,0.415432,0.4802,0.530757,673,510,975,947
catboost+cnn+lstm+xgb+cnn_lstm,5,0.568838,0.425926,0.487116,0.532045,690,523,962,930
lgbm+logreg+lstm+tcn,4,0.568835,0.464198,0.511217,0.536876,752,570,915,868
cnn+gru+lgbm+logreg+cnn_lstm,5,0.568817,0.326543,0.414902,0.519485,529,401,1084,1091
cnn+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,7,0.568815,0.441358,0.497046,0.533977,715,542,943,905
catboost+lgbm+lstm,3,0.568792,0.418519,0.482219,0.531079,678,514,971,942
catboost+cnn+lgbm+lstm+rf,5,0.56874,0.429012,0.489092,0.532367,695,527,958,925
cnn+gru+lgbm+lstm+cnn_lstm,5,0.568627,0.268519,0.36478,0.512077,435,330,1155,1185
catboost+lgbm+tcn+xgb+cnn_lstm,5,0.5685,0.376543,0.453026,0.525604,610,463,1022,1010
lgbm+lstm+cnn_lstm,3,0.568458,0.404938,0.472963,0.529147,656,498,987,964
cnn+lgbm+lstm+rf,4,0.568447,0.42037,0.483322,0.531079,681,517,968,939
catboost+logreg+lstm+rf+cnn_lstm,5,0.568447,0.42037,0.483322,0.531079,681,517,968,939
lgbm+logreg+tcn+xgb+cnn_lstm,5,0.568421,0.4,0.469565,0.528502,648,492,993,972
catboost+lgbm+xgb+cnn_lstm,4,0.568332,0.372222,0.449832,0.52496,603,458,1027,1017
catboost+cnn+lgbm+lstm+tcn+xgb,6,0.568259,0.411111,0.477077,0.529791,666,506,979,954
catboost+logreg+lstm+rf+tcn+cnn_lstm,6,0.56822,0.421605,0.484054,0.531079,683,519,966,937
catboost+cnn+gru+lstm,4,0.568151,0.259877,0.356629,0.510789,421,320,1165,1199
catboost+lgbm+logreg+tcn+xgb,5,0.568083,0.404321,0.472413,0.528824,655,498,987,965
catboost+cnn+lgbm+logreg+rf,5,0.568012,0.469136,0.513861,0.536876,760,578,907,860
catboost+cnn+lgbm+lstm+rf+tcn,6,0.567961,0.433333,0.491597,0.532367,702,534,951,918
catboost+lstm+tcn+xgb+cnn_lstm,5,0.567948,0.374074,0.451061,0.52496,606,461,1024,1014
catboost+cnn+logreg+rf,4,0.567937,0.487654,0.524743,0.53913,790,601,884,830
cnn+lstm+xgb,3,0.567848,0.405556,0.473172,0.528824,657,500,985,963
cnn+gru+logreg+lstm,4,0.567845,0.307407,0.398879,0.516586,498,379,1106,1122
cnn+lgbm+logreg+lstm+rf+cnn_lstm,6,0.567835,0.459877,0.508186,0.535588,745,567,918,875
cnn+lgbm+logreg+lstm+xgb,5,0.567831,0.431481,0.490354,0.532045,699,532,953,921
catboost+cnn+logreg+rf+tcn+xgb,6,0.567797,0.41358,0.478571,0.529791,670,510,975,950
catboost+cnn+logreg+rf+xgb,5,0.567775,0.411111,0.476907,0.529469,666,507,978,954
cnn+lgbm+logreg+rf+cnn_lstm,5,0.567742,0.488889,0.525373,0.53913,792,603,882,828
cnn+rf+xgb+cnn_lstm,4,0.567736,0.39321,0.464624,0.527214,637,485,1000,983
catboost+cnn+rf,3,0.567732,0.460494,0.508521,0.535588,746,568,917,874
catboost+lgbm+logreg+lstm+tcn+cnn_lstm,6,0.567728,0.473457,0.516324,0.537198,767,584,901,853
catboost+lgbm+logreg+lstm+cnn_lstm,5,0.567669,0.466049,0.511864,0.536232,755,575,910,865
catboost+cnn+logreg+lstm+rf+tcn+cnn_lstm,7,0.567608,0.471605,0.515172,0.536876,764,582,903,856
cnn+lgbm+logreg+rf+tcn,5,0.567548,0.47716,0.518444,0.53752,773,589,896,847
catboost+lgbm+lstm+tcn,4,0.567545,0.425309,0.486239,0.531079,689,525,960,931
cnn+lgbm+logreg+lstm+rf+tcn+cnn_lstm,7,0.567527,0.461728,0.50919,0.535588,748,570,915,872
catboost+cnn+gru+logreg,4,0.567427,0.337654,0.423375,0.520129,547,417,1068,1073
catboost+cnn+lgbm+logreg+lstm+rf+tcn,7,0.567337,0.452469,0.503434,0.5343,733,559,926,887
catboost+cnn+lgbm+logreg+rf+tcn,6,0.567329,0.475926,0.517623,0.537198,771,588,897,849
cnn+lstm+rf+tcn,4,0.567308,0.437037,0.493724,0.532367,708,540,945,912
cnn+lgbm+logreg+lstm+tcn+xgb,6,0.567284,0.434568,0.492136,0.532045,704,537,948,916
catboost+cnn+logreg+lstm+rf+cnn_lstm,6,0.567265,0.468519,0.513185,0.536232,759,579,906,861
lstm+tcn+xgb+cnn_lstm,4,0.567179,0.364815,0.444027,0.523349,591,451,1034,1029
cnn+lstm+tcn+xgb,4,0.567063,0.412346,0.477484,0.529147,668,510,975,952
logreg+tcn+xgb,3,0.567046,0.399383,0.468671,0.527536,647,494,991,973
catboost+lstm+xgb+cnn_lstm,4,0.566981,0.370988,0.448507,0.523994,601,459,1026,1019
cnn+gru+logreg+lstm+tcn,5,0.566929,0.311111,0.401754,0.516586,504,385,1100,1116
cnn+gru+lgbm+logreg+tcn+cnn_lstm,6,0.566913,0.332099,0.41884,0.519163,538,411,1074,1082
cnn+lgbm+rf+xgb+cnn_lstm,5,0.566908,0.387037,0.460015,0.525926,627,479,1006,993
cnn+lgbm+logreg+rf+tcn+cnn_lstm,6,0.566856,0.491975,0.526768,0.538808,797,609,876,823
cnn+lgbm+lstm+rf+tcn,5,0.566832,0.424074,0.485169,0.530435,687,525,960,933
cnn+logreg+rf+tcn,4,0.566667,0.49321,0.527393,0.538808,799,611,874,821
cnn+logreg+lstm+rf,4,0.56659,0.454321,0.504282,0.533977,736,563,922,884
catboost+lstm+rf+tcn+cnn_lstm,5,0.566577,0.391358,0.462943,0.526248,634,485,1000,986
cnn+lgbm+rf+tcn+xgb+cnn_lstm,6,0.566577,0.391358,0.462943,0.526248,634,485,1000,986
catboost+cnn+lgbm+logreg+rf+xgb+cnn_lstm,7,0.566498,0.415432,0.479345,0.529147,673,515,970,947
catboost+cnn+logreg+rf+tcn,5,0.566429,0.489506,0.525166,0.538164,793,607,878,827
catboost+cnn+gru+logreg+lstm+tcn,6,0.566426,0.339506,0.424547,0.519807,550,421,1064,1070
catboost+cnn+lstm+tcn+xgb+cnn_lstm,6,0.566314,0.42963,0.488592,0.530757,696,533,952,924
catboost+cnn+lgbm+logreg+lstm+rf+tcn+cnn_lstm,8,0.566238,0.461728,0.508671,0.534622,748,573,912,872
cnn+lstm+xgb+cnn_lstm,4,0.566195,0.419753,0.482099,0.529469,680,521,964,940
catboost+cnn+lstm+rf,4,0.566129,0.433333,0.490909,0.531079,702,538,947,918
catboost+cnn+lstm+tcn+xgb,5,0.566054,0.417901,0.480824,0.529147,677,519,966,943
cnn+gru+logreg+tcn,4,0.565953,0.309877,0.400479,0.515942,502,385,1100,1118
catboost+cnn+lgbm+logreg+rf+tcn+xgb+cnn_lstm,8,0.565943,0.418519,0.481192,0.529147,678,520,965,942
catboost+cnn+lstm+xgb,4,0.565878,0.41358,0.477889,0.528502,670,514,971,950
catboost+cnn+lstm+rf+tcn,5,0.565842,0.437654,0.493561,0.531401,709,544,941,911
catboost+cnn+lgbm+logreg+lstm+xgb+cnn_lstm,7,0.565811,0.435185,0.491975,0.531079,705,541,944,915
catboost+cnn+lgbm+lstm+rf+cnn_lstm,6,0.5656,0.43642,0.492683,0.531079,707,543,942,913
cnn+logreg+lstm+rf+tcn,5,0.56558,0.460494,0.507656,0.533977,746,573,912,874
