,rf_gini,rf_perm,rf_shap,xgb_weight,xgb_gain,xgb_cover,xgb_perm,xgb_shap,lgb_split,lgb_gain,lgb_perm,lgb_shap,lr_l1_coef,lr_l1_perm,lr_l2_coef,lr_l2_perm,dnn_grad,dnn_perm
close,0.024461771845555265,-0.00048262548262549093,0.001680804703348347,0.0,0.0,0.0,0.0006435006435006052,0.026183223,76,310.7833262681961,0.0,0.019840719912977225,0.0,0.0,0.11204722432459117,-0.0017696267696267014,0.008679623,0.0004826188087463379
volume,0.03879684103046895,0.0024131274131273437,0.0029004384068703746,0.0,0.0,0.0,0.0024131274131274174,0.111614525,380,1818.5783206522465,0.0012870012870013214,0.09181821689657615,0.026980256674087683,0.004021879021878967,0.05750619695119311,0.0024131274131274547,0.012475062,0.002413153648376465
EMA_7,0.02405246190718055,0.0003217503217503026,0.0009813526662271442,0.0,0.0,0.0,-0.0024131274131274174,0.03735833,36,167.94799876213074,-0.0003217503217503026,0.006948739180980646,0.0,0.0,0.22125867740369237,-0.0004826254826254539,0.008622771,0.0009652972221374512
EMA_21,0.02394827641545201,0.0003217503217503026,0.0008106275893109361,0.0,0.0,0.0,0.0,0.03203758,47,225.79467976093292,0.0,0.02492862314459055,0.0,0.0,0.49970341735538315,0.011743886743886822,0.010880643,0.0033783912658691406
SMA_20,0.02431760576962079,0.0003217503217502656,0.00268394148394929,0.0,0.0,0.0,0.0,0.018314926,56,252.07371625304222,0.0,0.007836690681385627,0.031727341514885134,0.0009652509652509448,0.423128985111739,0.007078507078507139,0.008639352,0.0028957724571228027
SMA_50,0.023953908768406848,-3.700743415417188e-17,0.0011820977926134896,0.0,0.0,0.0,0.0,0.06420559,58,261.87281692028046,0.0,0.010372532427196293,0.0,0.0,0.01320278950989554,-0.0017696267696267014,0.007875894,0.0033783912658691406
RSI,0.03626891754946771,0.003700128700128665,0.002443646685548348,0.0,0.0,0.0,-0.004826254826254835,0.10543772,449,2055.3685878515244,-0.002252252252252266,0.0946203395136964,0.0937262058488147,0.00305662805662806,0.10581624884907856,0.003217503217503248,0.0096605765,0.011100411415100098
MACD_histogram,0.03402613875383258,-0.0017696267696268124,0.003933118834105957,0.0,0.0,0.0,-0.003700128700128739,0.08152875,323,1506.7744489014149,0.00916988416988418,0.09103919229081009,0.05036110253431223,-0.0017696267696268124,0.030834371708392223,-0.004182754182754156,0.017123174,-0.0014478564262390137
OBV,0.031459777934101256,0.0,0.003128566462673178,0.0,0.0,0.0,-0.0008043758043758306,0.12977964,234,1147.054492175579,0.0028957528957529455,0.10661355472197892,0.04954965751440578,0.0003217503217502656,0.05069667819426682,0.0003217503217503766,0.01042239,0.0009652972221374512
bollinger_width,0.034096769196233626,0.0028957528957528713,0.0015409149999097912,0.0,0.0,0.0,-0.0067567567567567615,0.046099443,299,1422.4258386194706,0.005952380952381005,0.06761598561301298,0.028475205506005685,-0.00032175032175033963,0.031813608580911014,-0.0033783783783783252,0.009097462,0.004826247692108154
CCI,0.035035609498990844,0.003539253539253514,0.0034824030568484216,0.0,0.0,0.0,-0.0028957528957529455,0.086121656,333,1525.4648460149765,0.010296010296010313,0.09358840906474311,0.0005035470189068864,-0.0009652509652510188,0.006143385253334639,-0.0011261261261260591,0.0098162955,0.006756782531738281
stoch_%K,0.03798028944064094,0.004343629343629307,0.0049059919751922205,0.0,0.0,0.0,-0.0001608751608751513,0.06460829,343,1549.459567785263,0.01624839124839128,0.09483856307453628,0.07657167326722111,0.023648648648648612,0.08112426774763637,0.018339768339768397,0.011386836,0.00916987657546997
stoch_%D,0.03451174178302897,0.006435006435006385,0.001918041545831314,0.0,0.0,0.0,0.004826254826254835,0.08005343,355,1507.6286525428295,0.01222651222651224,0.060534964613328884,0.0,0.0,0.0020181591132809565,0.0008043758043758675,0.009595904,-0.0033783316612243652
true_range,0.031192242214566665,0.0004826254826254169,0.0017584624686423197,0.0,0.0,0.0,-0.0033783783783783994,0.054657318,250,1104.096474647522,-0.003700128700128665,0.04011429077683238,0.04545264774409886,0.002574002574002532,0.050691548128210646,-0.0017696267696267014,0.0076887193,0.0028957724571228027
atr_14,0.029878424124539005,-0.0016087516087516611,0.0010125846096884195,0.0,0.0,0.0,0.0024131274131274174,0.039820384,230,1008.2064144909382,0.0043436293436293445,0.027252162834168828,0.024432881769333926,-0.0028957528957529455,0.043903895432978804,-0.006917631917631839,0.009671318,-0.0028957128524780273
atr_ratio,0.036204412966037165,0.0030566280566280226,0.0018835018752940778,0.0,0.0,0.0,0.003700128700128702,0.07400509,355,1645.6205230355263,0.00965250965250967,0.060983984388705725,0.002561005565038265,0.0006435006435006052,0.005950399787587848,-0.003217503217503174,0.010229794,0.0038610100746154785
parkinson_vol,0.03430753968250915,-0.006756756756756799,0.0018615432882489239,0.0,0.0,0.0,-0.0003217503217503026,0.08510163,379,1714.167055696249,0.01512226512226511,0.07856352011279136,0.013290727888174392,0.0006435006435006052,0.012347983086550295,-0.0017696267696267383,0.010555259,0.005308926105499268
vwap_24h,0.022964860840964673,0.002091377091377041,0.001152064149651204,0.0,0.0,0.0,0.0012870012870012844,0.060831714,44,226.16291159391403,0.0,0.010657926665787304,0.0,0.0,0.3474085239106155,0.005952380952381005,0.0070436765,0.0004826188087463379
price_vs_vwap,0.03517331110297927,0.008365508365508312,0.0031830354908411337,0.0,0.0,0.0,0.001126126126126133,0.09777518,356,1621.2454427480698,0.01319176319176322,0.08684372157898722,0.1253550132045557,0.0033783783783783625,0.1283582672905832,0.0008043758043758306,0.014585997,0.004343628883361816
volume_mean_20,0.03652523943837044,0.008204633204633124,0.003140539477450483,0.0,0.0,0.0,-0.004021879021879042,0.08359493,367,1715.671665161848,0.013352638352638372,0.07685632165623209,0.009815431747951202,0.0001608751608751143,0.012947578613573202,-0.0019305019305018896,0.014513387,-0.0024130940437316895
volume_ratio,0.035166260328803406,-0.003217503217503248,0.001944544061714743,0.0,0.0,0.0,0.005469755469755477,0.06610337,396,1818.1603959202766,0.0019305019305019637,0.05387684143936331,0.0013614734793262492,-0.0009652509652509819,0.019813106607716957,0.0003217503217503766,0.015529828,0.009652554988861084
vol_spike_1_5x,0.0006698297239017361,0.0,3.0548731575528414e-05,0.0,0.0,0.0,0.0,0.0003322183,0,0.0,0.0,0.0,0.015051932347472681,-0.0006435006435007162,0.013244729245815127,-0.0006435006435006052,0.007884806,-0.0004826188087463379
buying_pressure,0.043372665085037496,0.002574002574002532,0.0083320284614358,0.0,0.0,0.0,-0.0038610038610038533,0.07230935,376,1741.5606410205364,0.004826254826254835,0.0639442448169615,0.06520068015745364,0.014478764478764469,0.0635144335718846,0.011422136422136445,0.021734864,0.00916987657546997
adx,0.035556140894091565,-0.003217503217503285,0.002049377355594082,0.0,0.0,0.0,-0.00305662805662806,0.06953119,453,2084.2243852615356,0.0032175032175032112,0.06084309597586587,0.03765281771380762,0.0004826254826254539,0.0420827708576323,7.401486830834377e-17,0.013208653,0.008687257766723633
trending_market,0.0023858300887457094,0.0024131274131273805,0.00030081551360045975,0.0,0.0,0.0,-0.0009652509652509819,0.0014826214,1,3.630160093307495,0.0,9.517374378667284e-05,0.029980357830291817,0.007400257400257367,0.03427018167945147,0.007561132561132629,0.009048434,0.0
volatility_regime,0.0026332988335072594,0.0006435006435006052,0.00030736723144999894,0.0,0.0,0.0,0.0009652509652509448,0.005370785,12,62.773024916648865,0.00048262548262549093,0.003060565274035018,0.0,0.0,0.0012910743700892413,-0.0003217503217503026,0.011010065,0.002413153648376465
fear_greed_score,0.041261084935676325,0.0012870012870012475,0.007234230162016258,0.0,0.0,0.0,0.007400257400257404,0.10568265,448,2154.6646776497364,0.010778635778635803,0.09062776811741928,0.03522847734159321,0.00498712998712995,0.03721461827883362,0.0030566280566280968,0.008582127,-0.007239341735839844
roc_4h,0.04676488691071313,0.009491634491634445,0.008521899828783125,0.0,0.0,0.0,0.007722007722007707,0.1358777,388,1962.1931647360325,0.024935649935649968,0.12036844325508418,0.08988122868977591,0.010135135135135087,0.09102086773487271,0.005148005148005212,0.019610513,0.004343628883361816
roc_24h,0.03929304797286033,0.003217503217503174,0.0026835086332016823,0.0,0.0,0.0,0.005308880308880289,0.09182801,430,2113.917671263218,0.00723938223938229,0.09543961126852155,0.08962108378749259,-3.700743415417188e-17,0.09371767519380078,-0.0024131274131273437,0.014801129,0.004826247692108154
bb_position,0.039425032760474724,0.0011261261261260962,0.005453580602215534,0.0,0.0,0.0,-0.0025740025740025687,0.07418584,341,1492.51863566041,0.0008043758043758306,0.07019224134762217,0.07347214704885364,-0.002091377091377152,0.08417735470584922,-0.005791505791505743,0.009853814,0.0
near_upper_band,0.0014725587336544008,0.002734877734877683,0.0009227583793219248,0.0,0.0,0.0,0.0001608751608751513,0.0004745822,2,7.6173999309539795,0.0,0.0003279716467482026,0.007967295127077686,-0.00032175032175033963,0.007702221867149193,0.0012870012870013585,0.008500098,-0.0024130940437316895
near_lower_band,0.0027385166367037512,-0.00032175032175033963,0.0011109207213697893,0.0,0.0,0.0,-0.0001608751608751513,0.0008801554,0,0.0,0.0,0.0,0.038171885732939254,0.007882882882882858,0.04187592322657072,0.006756756756756836,0.007524426,0.0
break_upper_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112329265,0.0
break_lower_band,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006608127,0.0
rsi_overbought,0.0013321636655135773,0.0003217503217503026,0.00010565968107540431,0.0,0.0,0.0,0.0006435006435006052,0.0051043653,2,12.01476001739502,0.0,0.0008236580504179782,0.015929300892824075,-0.0003217503217503766,0.01658425135093714,-0.0004826254826254169,0.007166902,-0.0028957128524780273
rsi_oversold,0.0010306777964759373,0.0001608751608751143,0.00014481948691876437,0.0,0.0,0.0,-0.0008043758043758306,0.003806308,0,0.0,0.0,0.0,0.0027910654928002794,-0.0006435006435006793,0.005065525762433468,-0.0003217503217503026,0.007497313,0.001447916030883789
above_sma20,0.003204150284963113,0.003217503217503174,0.002015349445568616,0.0,0.0,0.0,-0.001126126126126133,0.0050203307,0,0.0,0.0,0.0,0.0766472082448333,0.0207528957528957,0.08332076918567985,0.01657014157014162,0.007849619,-0.0004826188087463379
above_sma50,0.0023169735963583975,-0.00032175032175033963,0.00046735499813893263,0.0,0.0,0.0,-0.0006435006435006793,0.0041812416,21,90.64860939979553,0.0004826254826255279,0.00813083748248027,0.006403823457145212,-0.0009652509652510188,0.005746549456758538,0.00032175032175033963,0.010496155,-0.0004826188087463379
ema7_above_ema21,0.0025864493134220095,-0.0008043758043758306,0.00039920839950232815,0.0,0.0,0.0,-0.0009652509652509819,0.011141382,10,39.941410064697266,-0.0014478764478764357,0.003378455865603341,0.025694529303260716,0.002734877734877683,0.03169875954166948,0.0014478764478764727,0.015448233,-0.004826247692108154
ema_cross_up,0.0008768456921363993,-0.0003217503217503766,3.68716263868947e-05,0.0,0.0,0.0,0.0,0.0013564493,3,13.782020092010498,0.0009652509652509819,0.0007220017658389898,0.0014158539139009516,-3.700743415417188e-17,0.001306986364014334,-0.0006435006435006052,0.006497428,0.001447916030883789
ema_cross_down,0.0009078112521803045,-0.0012870012870013214,9.179449580894689e-05,0.0,0.0,0.0,-0.0003217503217503026,0.0015632325,3,6.807139992713928,0.0003217503217503026,0.0009003858207513314,0.0005863158163927613,-0.0001608751608751883,0.0020149831186770367,-0.0004826254826254539,0.007372397,-0.0024130940437316895
macd_cross_up,0.0014337345312395128,-0.0009652509652510188,7.159423648551562e-05,0.0,0.0,0.0,0.0001608751608751513,0.00176884,3,11.060500144958496,0.00048262548262549093,0.001351314112738508,0.00035840287105698984,0.0,0.0012407184839416127,0.0006435006435007162,0.009589221,0.0
macd_cross_down,0.0012999633242482195,-0.0006435006435007162,0.000201999778899534,0.0,0.0,0.0,-0.002091377091377078,0.0037731421,5,15.425860047340393,3.700743415417188e-17,0.004287690419037464,0.02138100089489272,0.0014478764478763988,0.02298495395535948,-0.0014478764478764357,0.0085804565,0.0009652972221374512
macd_positive,0.0022978080823490886,-7.401486830834377e-17,0.0004399122798338479,0.0,0.0,0.0,0.0003217503217502656,0.003688513,0,0.0,0.0,0.0,0.00889765362984709,-0.0022522522522523034,0.012425284654328368,-0.00466537966537961,0.012645427,0.002413153648376465
macd_rising,0.0025952404841743924,0.004343629343629307,0.0005575930817409612,0.0,0.0,0.0,-0.0006435006435006422,0.025151083,20,101.14486134052277,-0.00305662805662806,0.0201684138099162,0.06623288592941494,0.0001608751608751143,0.06558440702380312,-0.0009652509652509078,0.017637508,-0.00916987657546997
obv_rising_24h,0.002944961689062981,0.0017696267696267383,0.0003438783130820574,0.0,0.0,0.0,0.0033783783783783625,0.0071559343,20,82.41937029361725,-0.0009652509652509448,0.004545693875305224,0.005390766456785286,0.0019305019305018527,0.00633071574767827,0.003700128700128776,0.013100246,0.0009652972221374512
stoch_overbought,0.001770297799853743,0.0011261261261260591,0.0015195755869971122,0.0,0.0,0.0,-0.0008043758043758306,0.0047779917,1,4.382050037384033,0.0,0.0001460780941682547,0.016376936871584896,0.0014478764478763988,0.019161845682332177,0.002574002574002643,0.011848359,0.001930534839630127
stoch_oversold,0.002448439315125755,0.0003217503217502656,0.0010617219457202676,0.0,0.0,0.0,0.0,6.733021e-05,1,4.796440124511719,0.0,0.00018896994916420674,0.009629667977485643,0.0033783783783783252,0.009337164069152755,-0.0014478764478763988,0.009912439,0.0033783912658691406
cci_overbought,0.0013535673745847365,0.0017696267696267014,0.0005570948066229226,0.0,0.0,0.0,-0.0014478764478764357,0.0065967613,1,3.8113300800323486,0.0008043758043757935,0.0025441673398974734,0.0432457056664498,0.004826254826254798,0.04770658312414311,0.006113256113256156,0.009453356,0.0038610100746154785
cci_oversold,0.0021359994278882925,-0.0003217503217503766,0.000963643714217209,0.0,0.0,0.0,-0.0006435006435006422,0.0022349083,1,6.7060699462890625,0.0001608751608751513,0.0005470964179608777,0.033126485759853885,0.004343629343629307,0.0359650989800439,0.0038610038610039274,0.014761641,-0.0004826188087463379
oversold_reversal,0.0006333576298251484,0.0001608751608751513,4.700772027679017e-05,0.0,0.0,0.0,0.0014478764478764357,0.0028576732,8,13.358790814876556,-0.0003217503217503026,0.003779546408235012,0.024628107152287994,-0.004182754182754193,0.026309775675231857,-0.0045045045045044585,0.0065985746,-0.0024130940437316895
overbought_reversal,0.0011208666110171038,0.0003217503217503026,0.00011440976289384019,0.0,0.0,0.0,-0.00032175032175033963,0.0032062363,4,10.93792986869812,0.0008043758043757935,0.0009833088715088042,0.006944711328384746,0.0004826254826254539,0.007495068933474662,0.00016087516087522533,0.009450649,-0.004343628883361816
momentum_alignment,0.0026223717863961423,0.0008043758043757565,0.0005127057669956803,0.0,0.0,0.0,-0.0014478764478764727,0.009542905,15,95.79354977607727,-0.0022522522522522292,0.014408150477967252,0.007220546473606882,-0.003217503217503248,0.007893810381332893,-0.002091377091377041,0.010046069,0.001930534839630127
volume_breakout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051238746,0.0
volume_breakdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010732233,0.0
resistance_level,0.021954725973772505,0.0006435006435006052,0.0013579416445652843,0.0,0.0,0.0,-0.0009652509652509819,0.04970872,91,455.6558002233505,-0.0001608751608751513,0.04318586295838309,0.0,0.0,0.11140383004908337,-0.0045045045045044585,0.0070797326,0.001930534839630127
support_level,0.0220543857035937,-0.0017696267696268124,0.0015922436646695034,0.0,0.0,0.0,0.0,0.04140094,104,445.4730193018913,0.0001608751608751513,0.039480874727246595,0.0,0.0,0.43449315864416044,0.010296010296010313,0.0076941005,0.0
trend_alignment,0.0011839154987023338,-0.0012870012870013214,0.0003066706051778502,0.0,0.0,0.0,-0.0017696267696267753,0.01786489,2,12.129930019378662,0.0,0.0008165257390509686,0.020967259757901795,0.0001608751608751143,0.02542928430864717,0.003700128700128776,0.009263036,-0.013513505458831787
